Canale5	udp://@233.50.230.129:5000
Rete 4	udp://@233.50.230.131:5000
Italia 1	udp://@233.50.230.132:5000
Italia 2	udp://@233.50.230.97:5000
TV2000	udp://@233.50.230.210:5000
Telelombardia	udp://@233.50.230.202:5000
Rai News 24	udp://@233.50.230.133:5000
euronews I	udp://@233.50.230.134:5000
TGCOM24	udp://@233.50.230.135:5000
Rai Sport+	udp://@233.50.230.137:5000
Super Tennis	udp://@233.50.230.138:5000
Sportitalia	udp://@233.50.230.139:5000
Rai Gulp	udp://@233.50.230.140:5000
Boing	udp://@233.50.230.141:5000
Rai yoyo	udp://@233.50.230.142:5000
Super!	udp://@233.50.230.143:5000
frisbee	udp://@233.50.230.144:5000
K2	udp://@233.50.230.145:5000
Cartoonito	udp://@233.50.230.182:5000
Rai Scuola	udp://@233.50.230.218:5000
Rai Storia	udp://@233.50.230.146:5000
Warner TV	udp://@233.50.230.211:5000
Focus	udp://@233.50.230.153:5000
TOPcrime	udp://@233.50.230.233:5000
La 5	udp://@233.50.230.219:5000
IRIS	udp://@233.50.230.148:5000
DMAX italia	udp://@233.50.230.149:5000
Real Time	udp://@233.50.230.150:5000
NOVE	udp://@233.50.230.151:5000
Giallo	udp://@233.50.230.152:5000
Deejay TV	udp://@233.50.230.154:5000
RadioItaliaTV	udp://@233.50.230.209:5000
RTL 102.5 TV	udp://@233.50.230.208:5000
Senato TV	udp://@233.50.230.161:5000
QVC	udp://@233.50.230.165:5000
BBC One	udp://@233.50.230.155:5000
BBC One HD	udp://@233.50.230.254:5000
BBC Two	udp://@233.50.230.156:5000
ITV	udp://@233.50.230.158:5000
Channel 4	udp://@233.50.230.159:5000
Channel 5	udp://@233.50.230.160:5000
ITV 2	udp://@233.50.230.162:5000
ITV 3	udp://@233.50.230.163:5000
ITV 4	udp://@233.50.230.164:5000
E4	udp://@233.50.230.166:5000
Film 4	udp://@233.50.230.167:5000
5 STAR	udp://@233.50.230.179:5000
5 USA	udp://@233.50.230.178:5000
BBC News	udp://@233.50.230.169:5000
CNN International	udp://@233.50.230.170:5000
CNBC	udp://@233.50.230.171:5000
Bloomberg TV	udp://@233.50.230.172:5000
Sky News	udp://@233.50.230.173:5000
euronews E	udp://@233.50.230.174:5000
Al Jazeera English	udp://@233.50.230.175:5000
DW Europe	udp://@233.50.230.176:5000
France 24 E	udp://@233.50.230.177:5000
CBBC	udp://@233.50.230.180:5000
Cbeebies	udp://@233.50.230.181:5000
TravelXP	udp://@233.50.230.183:5000
More4+1	udp://@233.50.230.184:5000
Great! TV	udp://@233.50.230.78:5000
Great! Romance	udp://@233.50.230.253:5000
Fashion TV	udp://@233.50.230.185:5000
TVE Int.	udp://@233.50.230.186:5000
Canal 24 Horas	udp://@233.50.230.187:5000
TVGA Europa	udp://@233.50.230.231:5000
RTP Int.	udp://@233.50.230.188:5000
BVN TV	udp://@233.50.230.189:5000
TVR International	udp://@233.50.230.190:5000
TVP Polonia	udp://@233.50.230.191:5000
TVP Info	udp://@233.50.230.234:5000
Polonia 1	udp://@233.50.230.235:5000
Duna TV	udp://@233.50.230.192:5000
BN	udp://@233.50.230.193:5000
TVCG MNE	udp://@233.50.230.194:5000
TV4E	udp://@233.50.230.195:5000
RTK 1	udp://@233.50.230.196:5000
RTSH 3	udp://@233.50.230.197:5000
RTSH Sat	udp://@233.50.230.198:5000
TRT TURK	udp://@233.50.230.199:5000
KANAL 7 AVRUPA	udp://@233.50.230.200:5000
HABERTURK	udp://@233.50.230.201:5000
Eurostar	udp://@233.50.230.203:5000
CNN Türk	udp://@233.50.230.204:5000
Euro D	udp://@233.50.230.206:5000
TRT1	udp://@233.50.230.221:5000
TRT Haber	udp://@233.50.230.222:5000
TRT Cocuk	udp://@233.50.230.223:5000
TGRT EU	udp://@233.50.230.83:5000
Beyaz TV	udp://@233.50.230.224:5000
Sterk TV	udp://@233.50.230.220:5000
Kuwait TV	udp://@233.50.230.225:5000
Al Arabiya	udp://@233.50.230.236:5000
Abu Dhabi TV	udp://@233.50.230.239:5000
Al Sharqiya	udp://@233.50.230.240:5000
Dubai TV	udp://@233.50.230.237:5000
Saudi 1	udp://@233.50.230.244:5000
Jordan TV	udp://@233.50.230.241:5000
Oman TV	udp://@233.50.230.242:5000
Qatar TV	udp://@233.50.230.243:5000
Sharjah TV	udp://@233.50.230.245:5000
Arryadia	udp://@233.50.230.248:5000
2M Maroc	udp://@233.50.230.249:5000
